,Date,SPXL,VOO,Total,VOO_75%+Spxl_25%,Stock,Remainder,Have_voo,Have_spxl,Voo_%,Spxl_%,Voo_100%,Spxl_100%
4125,2022-04-18,107.37274169921875,392.6123962402344,69231.08107240997,69242.94168583557,69219.22045898438,11.860613425596966,51824.83630371094,17394.384155273438,0.749,0.251,42858.76381715523,188614.27198917116
4126,2022-04-19,112.50878143310547,398.883056640625,70890.84668215118,70953.85936466858,70827.83399963379,63.01268251739384,53051.446533203125,17776.387466430664,0.748,0.251,43543.28818686842,197636.39790291738
4127,2022-04-20,112.29148864746094,398.5806884765625,70816.29945619903,70879.31213871643,70753.28677368164,63.01268251739384,53011.23156738281,17742.055206298828,0.749,0.251,43510.28075803153,197254.69468919435
4128,2022-04-21,107.27397918701172,392.6709289550781,69237.53494509064,69264.12263981506,69210.94725036621,26.58769472442509,51832.56262207031,17378.3846282959,0.749,0.251,42865.153426411314,188440.78271205153
4129,2022-04-22,98.46369934082031,381.9532775878906,66395.53962953888,66398.32428471252,66392.75497436523,2.7846551736438414,49653.92608642578,16738.828887939453,0.748,0.252,41695.18199142932,172964.3732163783
4130,2022-04-23,98.99376424153645,382.64892578125,66576.08492779733,66578.86958297098,66573.30027262369,2.7846551736438414,49744.3603515625,16828.939921061195,0.747,0.253,41771.12106493932,173895.50158074152
4131,2022-04-24,99.52382914225261,383.3445739746094,66756.63022605582,66759.41488122946,66753.84557088217,2.7846551736438414,49834.79461669922,16919.050954182945,0.747,0.253,41847.060138449306,174826.62994510474
4132,2022-04-25,100.05389404296875,384.04022216796875,66937.17552431427,66939.96017948791,66934.39086914062,2.7846551736438414,49925.22888183594,17009.161987304688,0.746,0.254,41922.99921195929,175757.75830946796
4133,2022-04-26,91.39176940917969,373.059326171875,64037.09785707794,64054.8670093219,64019.328704833984,17.76915224395634,47751.59375,16267.734954833984,0.746,0.254,40724.29119228343,160541.60283251904
4134,2022-04-27,92.2115707397461,374.0248107910156,64306.60452516876,64324.37367741272,64288.835372924805,17.76915224395634,47875.17578125,16413.659591674805,0.744,0.255,40829.68643109175,161981.6911518961
4135,2022-04-28,99.14520263671875,383.39666748046875,66740.3886590799,66784.52609745666,66696.25122070312,44.13743837676884,49841.56677246094,16854.684448242188,0.747,0.253,41852.74682405937,174161.52293966824
4136,2022-04-29,88.24101257324219,369.3144836425781,63055.9924493631,63132.830754439085,62979.15414428711,76.83830507598759,47272.25390625,15706.90023803711,0.75,0.249,40315.492786954004,155006.88613049054
4137,2022-04-30,88.72498575846355,370.08815511067706,63241.16962424916,63318.00792932515,63164.33131917317,76.83830507598759,47371.283854166664,15793.047465006512,0.749,0.25,40399.9491185443,155857.04836485465
4138,2022-05-01,89.20895894368489,370.86182657877606,63426.34679913524,63503.185104211225,63349.50849405925,76.83830507598759,47470.313802083336,15879.19469197591,0.748,0.25,40484.405450134596,156707.2105992187
4139,2022-05-02,89.69293212890625,371.635498046875,63611.5239740213,63688.36227909729,63534.68566894531,76.83830507598759,47569.34375,15965.341918945312,0.748,0.251,40568.86178172489,157557.3728335828
4140,2022-05-03,90.95719146728516,373.24462890625,64042.530886252745,64119.36919132873,63965.69258117676,76.83830507598759,47775.3125,16190.380081176758,0.746,0.253,40744.51940260818,159778.20980710292
4141,2022-05-04,99.19458770751953,384.5668640136719,66958.03351076446,66960.10020176574,66955.96681976318,2.06669100128056,49993.692321777344,16962.27449798584,0.747,0.253,41980.48903830551,174248.27427924302
4142,2022-05-05,88.626220703125,371.0600891113281,63394.96201570831,63430.13911930725,63359.784912109375,35.17710359893681,47495.69140625,15864.093505859375,0.749,0.25,40506.04839146251,155683.5546203917
4143,2022-05-06,87.14466857910156,368.7293395996094,62831.42824800812,62886.75601689026,62776.10047912598,55.327768882139935,46828.62612915039,15947.474349975586,0.745,0.254,40251.616682743406,153081.01443314858
4144,2022-05-07,84.34289805094402,364.7634582519531,61815.03731020294,61870.36507908508,61759.7095413208,55.327768882139935,46324.95919799805,15434.750343322754,0.749,0.25,39818.689007423505,148159.33785037586
4145,2022-05-08,81.54112752278645,360.7975769042969,60798.646372397765,60807.06608057027,60790.22666422526,8.419708172506944,45460.494689941406,15329.731974283854,0.748,0.252,39385.761332103604,143237.66126760305
4146,2022-05-09,78.7393569946289,356.8316955566406,59772.21246329946,59822.50643905009,59721.91848754883,50.293975750631944,44603.96194458008,15117.95654296875,0.746,0.253,38952.8336567837,138315.98468483033
4147,2022-05-10,79.15418243408203,357.7483825683594,59966.444824139304,60016.738799889936,59916.15084838867,50.293975750631944,44718.54782104492,15197.60302734375,0.746,0.253,39052.90200028417,139044.67985482252
4148,2022-05-11,75.46019744873047,351.98486328125,58536.75979606313,58561.73764785136,58511.7819442749,24.9778517882296,43646.123046875,14865.658897399902,0.746,0.254,38423.738697629065,132555.71181950145
4149,2022-05-12,75.15399932861328,351.7118225097656,58442.58171073598,58467.55956252421,58417.603858947754,24.9778517882296,43612.26599121094,14805.337867736816,0.746,0.253,38393.932736203584,132017.83475129603
4150,2022-05-13,80.45794677734375,360.01092529296875,60516.54810325307,60545.62562545146,60487.47058105469,29.07752219838585,45361.37658691406,15126.093994140625,0.75,0.25,39299.88804858235,141334.91253919047
4151,2022-05-14,80.17151133219402,359.5818379720052,60408.63323712352,60476.60655196514,60340.6599222819,67.97331484161987,44947.72974650065,15392.93017578125,0.744,0.255,39253.047570996256,140831.75119578216
4152,2022-05-15,79.88507588704427,359.1527506510417,60300.00171653433,60367.97503137595,60232.02840169271,67.97331484161987,44894.09383138021,15337.9345703125,0.745,0.254,39206.20709341017,140328.58985237384
4153,2022-05-16,79.59864044189453,358.7236633300781,60191.370195945135,60259.343510786755,60123.396881103516,67.97331484161987,44840.457916259766,15282.93896484375,0.745,0.254,39159.36661582408,139825.42850896553
4154,2022-05-17,84.36923217773438,365.9012451171875,62004.52153261506,62015.64621464418,61993.39685058594,11.124682029119867,46469.45812988281,15523.938720703125,0.749,0.25,39942.89328369782,148205.59719026444
4155,2022-05-18,74.3045883178711,351.4095153808594,58312.17738588654,58337.266377608044,58287.08839416504,25.08899172150268,43574.77990722656,14712.308486938477,0.747,0.252,38360.931970150064,130525.73315385781
4156,2022-05-19,72.80328369140625,349.0592346191406,57723.48425539338,57748.57324711488,57698.395263671875,25.08899172150268,43283.34509277344,14415.050170898438,0.75,0.25,38104.36817075115,127888.49511119079
4157,2022-05-20,72.9415512084961,349.14697265625,57761.74074037873,57786.82973210023,57736.65174865723,25.08899172150268,43294.224609375,14442.427139282227,0.75,0.25,38113.94592185188,128131.38009915827
4158,2022-05-21,74.2979965209961,351.3542175292969,58304.01527651154,58329.104268233044,58278.92628479004,25.08899172150268,43567.92297363281,14711.003311157227,0.747,0.252,38354.89548841283,130514.15380001994
